time,seconds_elapsed,z,y,x
1771514211290468400,0.47146826171875,-0.002062499988824129,-0.0009624999947845936,-0.004812499973922968
1771514211300672000,0.481672119140625,-1.5914249420166016,-0.282150000333786,0.2083124965429306
1771514211321077500,0.502077392578125,-13.439112663269043,-2.3758625984191895,1.7825499773025513
1771514211341481200,0.522481201171875,-56.221275329589844,-10.076274871826172,7.601962566375732
1771514211361885700,0.5428857421875,-34.75202560424805,-6.1545000076293945,4.824325084686279
1771514211382088700,0.563088623046875,-18.489349365234375,-3.1563124656677246,2.6303749084472656
1771514211402490000,0.583489990234375,-10.02443790435791,-1.5835875272750854,1.3710124492645264
1771514211423089700,0.604089599609375,-5.23696231842041,-0.8327000141143799,0.7108749747276306
1771514211443489300,0.6244892578125,-2.8489999771118164,-0.4889499843120575,0.4094749987125397
1771514211463891200,0.64489111328125,-1.6004999876022339,-0.3291749954223633,0.28421249985694885
1771514211484292600,0.665292724609375,-0.9611250162124634,-0.2480500042438507,0.18988749384880066
1771514211504691500,0.68569140625,-0.6683874726295471,-0.12952500581741333,0.09624999761581421
1771514211525091000,0.706091064453125,-0.48867499828338623,0.05816249921917915,0.0845625028014183
1771514211545493200,0.7264931640625,-0.2825624942779541,0.1438249945640564,0.13942499458789825
1771514211565895000,0.74689501953125,-0.08057499676942825,0.07411249727010727,0.16060000658035278
1771514211586295300,0.76729541015625,0.033275000751018524,0.028599999845027924,0.10271249711513519
1771514211606695200,0.787695068359375,0.02681249938905239,0.06338749825954437,0.007837500423192978
1771514211627098400,0.808098388671875,-0.05926249921321869,0.12677499651908875,-0.07493750005960464
1771514211647505400,0.82850537109375,-0.12223749607801437,0.13021250069141388,-0.13186250627040863
1771514211667911700,0.84891162109375,-0.11371249705553055,0.03244999796152115,-0.1331000030040741
1771514211688314400,0.869314453125,-0.05857500061392784,-0.08538749814033508,-0.07328750193119049
1771514211708712400,0.88971240234375,-0.022687500342726707,-0.10188750177621841,-0.02474999986588955
1771514211729111800,0.91011181640625,-0.002612499985843897,-0.04221250116825104,-0.01691249944269657
1771514211749518800,0.930518798828125,0.01718750037252903,0,-0.02447500079870224
1771514211769927400,0.950927490234375,0.008387500420212746,0,-0.011962499469518661
1771514211790332700,0.971332763671875,0.08084999769926071,-0.0695749968290329,0.09404999762773514
1771514211810739500,0.991739501953125,0.10353749990463257,-0.05664999783039093,0.13255000114440918
1771514211831146000,1.01214599609375,0.03148749843239784,-0.0005499999970197678,0.08483749628067017
1771514211851550000,1.032550048828125,-0.045237500220537186,0.025162499397993088,-0.03162499889731407
