time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1776081606697000000,2.517,25.600000381469727,3.299999952316284,1.0324000120162964,16.53700065612793,5.324286460876465,87,503.6000061035156,73.8714383,18.5098667
1776081607197000000,3.017,19.700000762939453,2.299999952316284,1.0374000072479248,13.190999984741211,4.812652587890625,93,503.6000061035156,73.8717633,18.5102767
1776081607697000000,3.517,17.200000762939453,2,1.0424000024795532,11.368000030517578,4.664412975311279,92,503.6000061035156,73.871825,18.5104733
1776081608197000000,4.017,15.600000381469727,1.7000000476837158,1.0473999977111816,10.173999786376953,4.418890476226807,92,503.6000061035156,73.8718717,18.51059
1776081609197000000,5.017,13.399999618530273,1.5,1.0573999881744385,6.119999885559082,4.461097717285156,92,503.6000061035156,73.8719183,18.510635
1776081610197000000,6.017,20.700000762939453,2.5,1.0673999786376953,5.815999984741211,4.478598117828369,93,503.6000061035156,73.87198,18.5106667
1776081611197000000,7.017,26.200000762939453,2.5999999046325684,1.0773999691009521,5.456999778747559,4.192412376403809,90,503.6000061035156,73.8720817,18.5106933
1776081612197000000,8.017,27,2.700000047683716,1.087399959564209,4.770999908447266,4.078144073486328,87,503.6000061035156,73.8721633,18.5106967
1776081613197000000,9.017,25.299999237060547,2.5999999046325684,1.0973999500274658,3.950000047683716,4.105424404144287,83,503.6000061035156,73.8722267,18.5106933
1776081614197000000,10.017,25.899999618530273,2.5999999046325684,1.1073999404907227,3.5,3.9422574043273926,82,503.6000061035156,73.8722717,18.5106983
1776081615197000000,11.017,25,2.200000047683716,1.117400050163269,3.065999984741211,3.8933589458465576,81,503.6000061035156,73.8723267,18.51071
1776081616197000000,12.017,23.399999618530273,2.0999999046325684,1.1274000406265259,2.75,3.7116620540618896,82,503.6000061035156,73.87237,18.5107167
1776081617197000000,13.017,21.5,1.899999976158142,1.1374000310897827,2.5999999046325684,3.7039411067962646,85,503.6000061035156,73.87241,18.5107217
1776081618197000000,14.017,15.100000381469727,2,1.1474000215530396,2.5,3.870711088180542,84,503.6000061035156,73.8724467,18.5107233
1776081619197000000,15.017,14.5,1.899999976158142,1.1574000120162964,2.433000087738037,3.8207831382751465,79,503.6000061035156,73.8724833,18.5107317
1776081620197000000,16.017,12.5,2,1.1674000024795532,2.3499999046325684,3.9865236282348633,80,503.6000061035156,73.8725117,18.5107483
1776081622137000000,17.957,18.299999237060547,2.4000000953674316,1.1868000030517578,2.299999952316284,4.431758403778076,83,503.6000061035156,73.872595,18.5107567
1776081623137000000,18.957,13.300000190734863,1.7000000476837158,1.1967999935150146,2.259999990463257,4.404992580413818,80,503.6000061035156,73.8726433,18.510765
1776081624137000000,19.957,14.800000190734863,1.600000023841858,1.2067999839782715,2.2200000286102295,4.774563312530518,85,503.6000061035156,73.872685,18.5107767
1776081625137000000,20.957,17.200000762939453,1.7999999523162842,1.2167999744415283,2.1600000858306885,4.334475994110107,82,503.6000061035156,73.8727283,18.5107833
1776081626137000000,21.957,18.700000762939453,1.7999999523162842,1.2267999649047852,2.119999885559082,4.270650386810303,84,503.6000061035156,73.8727717,18.5107867
1776081627137000000,22.957,15.199999809265137,1.7999999523162842,1.236799955368042,2.0999999046325684,4.270650386810303,87,503.6000061035156,73.872825,18.510795
1776081628137000000,23.957,13.399999618530273,1.7999999523162842,1.2467999458312988,2.065999984741211,4.451832294464111,85,503.6000061035156,73.8728767,18.5108
1776081629137000000,24.957,14.600000381469727,2,1.2568000555038452,2.0999999046325684,4.646397590637207,88,503.6000061035156,73.872935,18.5108017
1776081630137000000,25.957,14.399999618530273,2.0999999046325684,1.266800045967102,2.183000087738037,4.898096561431885,89,503.6000061035156,73.8729967,18.5108
1776081631137000000,26.957,13.899999618530273,2.200000047683716,1.2768000364303589,2.315999984741211,5.186855792999268,87,503.6000061035156,73.8730633,18.5108017
1776081632137000000,27.957,15.699999809265137,2.700000047683716,1.2868000268936157,2.4830000400543213,5.439584255218506,85,503.6000061035156,73.8731333,18.510805
1776081633137000000,28.957,13.100000381469727,2.5,1.2968000173568726,2.6500000953674316,5.784448146820068,80,503.6000061035156,73.8732067,18.510805
1776081634137000000,29.957,10.899999618530273,2.4000000953674316,1.3068000078201294,2.75,8.754395484924316,82,503.6000061035156,73.8732983,18.510805
1776081635137000000,30.957,7.800000190734863,2,1.3167999982833862,2.7660000324249268,9.325222969055176,82,503.6000061035156,73.8733917,18.5108167
1776081636137000000,31.957,5.099999904632568,1.7999999523162842,1.326799988746643,2.75,9.746780395507812,80,503.6000061035156,73.873495,18.5108433
1776081637137000000,32.957,5.800000190734863,1.7000000476837158,1.3367999792099,2.683000087738037,9.901711463928223,80,503.6000061035156,73.8736,18.5108567
1776081638137000000,33.957,4.900000095367432,1.5,1.3467999696731567,2.5829999446868896,9.590304374694824,83,503.6000061035156,73.8736917,18.5108667
1776081639137000000,34.957,5.400000095367432,1.2999999523162842,1.3567999601364136,2.4830000400543213,8.852192878723145,83,503.6000061035156,73.8737833,18.5108767
1776081640137000000,35.957,5.099999904632568,1.2000000476837158,1.3667999505996704,2.4159998893737793,7.779511451721191,82,503.6000061035156,73.873855,18.5108883
1776081641137000000,36.957,9.300000190734863,1.5,1.3767999410629272,2.382999897003174,6.946176528930664,82,503.6000061035156,73.873915,18.510895
1776081642137000000,37.957,11.899999618530273,1.7999999523162842,1.3868000507354736,2.3329999446868896,6.4566755294799805,85,503.6000061035156,73.87398,18.510905
1776081643137000000,38.957,11.5,1.600000023841858,1.3968000411987305,2.2829999923706055,5.953792095184326,84,503.6000061035156,73.87404,18.5109117
1776081644137000000,39.957,12.300000190734863,1.7000000476837158,1.4068000316619873,2.2160000801086426,5.54561710357666,85,503.6000061035156,73.874095,18.5109183
1776081645137000000,40.957,15,1.7999999523162842,1.4168000221252441,2.1500000953674316,5.2043561935424805,81,503.6000061035156,73.8741483,18.5109283
1776081646137000000,41.957,20.299999237060547,2.200000047683716,1.426800012588501,2.1500000953674316,4.557865142822266,79,503.6000061035156,73.874195,18.5109367
1776081647137000000,42.957,19.700000762939453,2.0999999046325684,1.4368000030517578,2.1659998893737793,4.295356750488281,74,503.6000061035156,73.8742383,18.5109483
1776081648137000000,43.957,19.5,1.899999976158142,1.4467999935150146,2.2160000801086426,4.010715484619141,81,503.6000061035156,73.8742767,18.5109583
1776081649137000000,44.957,21,2,1.4567999839782715,2.2829999923706055,3.9947590827941895,81,503.6000061035156,73.87431,18.51096
1776081650137000000,45.957,14.199999809265137,1.600000023841858,1.4667999744415283,2.365999937057495,4.3524909019470215,80,503.6000061035156,73.8743533,18.510955
1776081651137000000,46.957,11.800000190734863,1.399999976158142,1.4767999649047852,2.433000087738037,4.708678722381592,77,503.6000061035156,73.874395,18.5109567
1776081652137000000,47.957,12.699999809265137,1.600000023841858,1.486799955368042,2.433000087738037,4.814197063446045,79,503.6000061035156,73.8744383,18.510955
1776081653137000000,48.957,12.5,1.5,1.4967999458312988,2.4159998893737793,4.798755168914795,82,503.6000061035156,73.87448,18.51097
1776081654137000000,49.957,16.5,1.600000023841858,1.5068000555038452,2.382999897003174,3.577319383621216,82,503.6000061035156,73.87451,18.5109817
1776081655137000000,50.957,22.299999237060547,1.600000023841858,1.516800045967102,2.3329999446868896,2.6564815044403076,82,503.6000061035156,73.8745283,18.5109833
1776081656137000000,51.957,16.100000381469727,1.2999999523162842,1.5268000364303589,2.2829999923706055,2.1052138805389404,83,503.6000061035156,73.8745433,18.5109833
1776081657137000000,52.957,42.099998474121094,1.7000000476837158,1.5368000268936157,2.25,1.4669582843780518,83,503.6000061035156,73.87456,18.5109833
1776081658137000000,53.957,44.29999923706055,1.5,1.5468000173568726,2.2160000801086426,1.3362188339233398,83,503.6000061035156,73.8745717,18.510985
1776081659137000000,54.957,45.79999923706055,1.899999976158142,1.5568000078201294,2.183000087738037,1.3604108095169067,83,503.6000061035156,73.8745883,18.510985
1776081659467000000,55.287,0,0,1.6624470949172974,4.349999904632568,0,0,502.8000183105469,73.8745883,18.510985
1776081660137000000,55.957,38.70000076293945,2,1.6691471338272095,4.0279998779296875,2.011019706726074,92,502.8000183105469,73.8746083,18.510985
1776081661137000000,56.957,32.099998474121094,2,1.6791471242904663,4.013999938964844,2.4552249908447266,83,502.8000183105469,73.8746383,18.5109883
1776081662137000000,57.957,24.5,1.7000000476837158,1.6891471147537231,4,2.7321455478668213,92,502.8000183105469,73.8746683,18.5109917
1776081663137000000,58.957,25.299999237060547,1.7000000476837158,1.69914710521698,3.984999895095825,2.495373249053955,98,502.8000183105469,73.8747033,18.510995
1776081664137000000,59.957,37.099998474121094,1.399999976158142,1.7091470956802368,3.9709999561309814,1.3748230934143066,98,502.8000183105469,73.8747267,18.510995
1776081665137000000,60.957,0,1.2999999523162842,1.7191470861434937,2.065999984741211,0,0,502.8000183105469,73.8747367,18.5109933
1776081666137000000,61.957,0,0.8999999761581421,1.7291470766067505,2.0329999923706055,0,0,502.8000183105469,73.87474,18.51099
1776081667137000000,62.957,0,0.8999999761581421,1.7391470670700073,2.0160000324249268,0,0,502.8000183105469,73.8747417,18.5109867
1776081667369000000,63.189,0,0,1.088437557220459,3.5460000038146973,0,0,503.1000061035156,73.8747417,18.5109867
1776081668137000000,63.957,0,0.8999999761581421,1.096117615699768,3.325000047683716,0,0,503.1000061035156,73.8747417,18.5109867
1776081669137000000,64.957,0,0.8999999761581421,1.106117606163025,3.325000047683716,0,0,503.1000061035156,73.8747417,18.5109867
1776081670137000000,65.957,0,1.5,1.1161175966262817,3.325000047683716,0,0,503.1000061035156,73.8747417,18.5109867
1776081671137000000,66.957,38.79999923706055,1.7999999523162842,1.1261175870895386,3.325000047683716,2.174701452255249,162,503.1000061035156,73.8747483,18.5109217
1776081672137000000,67.957,29.899999618530273,1.7000000476837158,1.1361175775527954,3.3399999141693115,2.798029899597168,169,503.1000061035156,73.8747517,18.5108933
1776081673137000000,68.957,22.299999237060547,1.7000000476837158,1.1461175680160522,2.0160000324249268,3.515038013458252,176,503.1000061035156,73.8747533,18.51086
1776081674137000000,69.957,20.600000381469727,1.7000000476837158,1.156117558479309,2.0160000324249268,3.865049123764038,174,503.1000061035156,73.874755,18.5108183
1776081675137000000,70.957,18.100000381469727,1.399999976158142,1.166117548942566,1.9830000400543213,3.667395830154419,178,503.1000061035156,73.8747483,18.5107817
1776081676137000000,71.957,24.200000762939453,1.600000023841858,1.1761175394058228,1.965999960899353,3.12848162651062,182,503.1000061035156,73.8747483,18.5107483
1776081677137000000,72.957,18.600000381469727,1.399999976158142,1.1861175298690796,1.965999960899353,3.557760000228882,179,503.1000061035156,73.87475,18.51072
1776081678137000000,73.957,16,1.2999999523162842,1.1961175203323364,1.965999960899353,4.159985065460205,177,503.1000061035156,73.874755,18.5106883
1776081679137000000,74.957,18.700000762939453,1.7000000476837158,1.2061175107955933,1.9830000400543213,4.272709369659424,181,503.1000061035156,73.8747467,18.51065
1776081680137000000,75.957,16.399999618530273,1.7000000476837158,1.21611750125885,2.0160000324249268,4.738532543182373,181,503.1000061035156,73.8747433,18.51061
1776081681137000000,76.957,14.399999618530273,1.7000000476837158,1.2261176109313965,2.065999984741211,5.639296531677246,183,503.1000061035156,73.87474,18.5105617
1776081682137000000,77.957,10.100000381469727,1.399999976158142,1.2361176013946533,2.0999999046325684,6.143209934234619,185,503.1000061035156,73.8747367,18.5105083
1776081683137000000,78.957,11.199999809265137,1.2999999523162842,1.2461175918579102,2.0999999046325684,5.847759246826172,181,503.1000061035156,73.8747367,18.5104567
1776081684137000000,79.957,9.399999618530273,1.100000023841858,1.256117582321167,2.065999984741211,5.3350958824157715,180,503.1000061035156,73.8747367,18.5104067
1776081685137000000,80.957,14.800000190734863,1.399999976158142,1.2661175727844238,2.0160000324249268,4.469333171844482,177,503.1000061035156,73.87474,18.510365
1776081686137000000,81.957,17.299999237060547,1.2999999523162842,1.2761175632476807,1.9500000476837158,3.76879620552063,179,503.1000061035156,73.8747433,18.51033
1776081686468000000,82.288,0,0,1.7204939126968384,4.090000152587891,0,0,503.4000244140625,73.8747433,18.51033
1776081687137000000,82.957,17.299999237060547,1.399999976158142,1.7271839380264282,3.7909998893737793,3.940713405609131,181,503.4000244140625,73.8747417,18.5102967
1776081688137000000,83.957,20,1.7999999523162842,1.737183928489685,3.7909998893737793,4.250576019287109,178,503.4000244140625,73.8747433,18.51026
1776081689137000000,84.957,15.899999618530273,1.7000000476837158,1.747183918952942,3.805000066757202,4.881625652313232,185,503.4000244140625,73.8747383,18.5102167
1776081690137000000,85.957,21,1.899999976158142,1.7571839094161987,3.861999988555908,4.264988422393799,186,503.4000244140625,73.874735,18.51017
1776081691137000000,86.957,19.600000381469727,1.7999999523162842,1.7671838998794556,3.9200000762939453,4.711767196655273,184,503.4000244140625,73.8747367,18.510125
1776081692137000000,87.957,15.5,1.600000023841858,1.7771838903427124,2.132999897003174,5.200753211975098,185,503.4000244140625,73.8747317,18.5100767
1776081693137000000,88.957,12.699999809265137,1.600000023841858,1.7871838808059692,2.1659998893737793,5.986734390258789,181,503.4000244140625,73.8747317,18.5100233
1776081694137000000,89.957,11.300000190734863,1.7000000476837158,1.797183871269226,2.183000087738037,6.487044334411621,185,503.4000244140625,73.8747317,18.5099683
1776081695137000000,90.957,13.899999618530273,1.899999976158142,1.807183861732483,2.200000047683716,6.15916633605957,186,503.4000244140625,73.874725,18.50991
1776081696137000000,91.957,15.600000381469727,1.7000000476837158,1.8171839714050293,2.2160000801086426,4.7683868408203125,183,503.4000244140625,73.8747233,18.50986
1776081697137000000,92.957,11.399999618530273,1.100000023841858,1.8271839618682861,2.183000087738037,3.749751329421997,177,503.4000244140625,73.87473,18.5098183
1776081698137000000,93.957,10.5,1.2000000476837158,1.837183952331543,2.1500000953674316,4.340137958526611,181,503.4000244140625,73.8747333,18.5097767
1776081699137000000,94.957,14.100000381469727,1.399999976158142,1.8471839427947998,2.115999937057495,4.92125940322876,180,503.4000244140625,73.8747333,18.5097317
1776081700137000000,95.957,16.299999237060547,1.5,1.8571839332580566,2.0999999046325684,4.521834850311279,181,503.4000244140625,73.8747333,18.5096917
1776081701137000000,96.957,19.299999237060547,1.600000023841858,1.8671839237213135,2.0829999446868896,4.1450581550598145,183,503.4000244140625,73.8747333,18.50965
1776081702137000000,97.957,19.200000762939453,1.600000023841858,1.8771839141845703,2.049999952316284,4.052408218383789,181,503.4000244140625,73.8747333,18.5096117
1776081703137000000,98.957,18.299999237060547,1.5,1.8871839046478271,2.065999984741211,3.8233566284179688,183,503.4000244140625,73.8747317,18.509575
1776081704137000000,99.957,17.600000381469727,1.5,1.897183895111084,2.0829999446868896,4.012774467468262,186,503.4000244140625,73.8747267,18.5095383
1776081705137000000,100.957,16.299999237060547,1.5,1.9071838855743408,2.0999999046325684,4.501245975494385,183,503.4000244140625,73.8747217,18.5095033
1776081706137000000,101.957,17,1.600000023841858,1.9171838760375977,2.0999999046325684,4.418890476226807,184,503.4000244140625,73.8747183,18.5094667
1776081707137000000,102.957,18.100000381469727,1.7000000476837158,1.9271838665008545,2.0999999046325684,4.3813157081604,187,503.4000244140625,73.8747167,18.5094267
1776081708137000000,103.957,27.899999618530273,1.7999999523162842,1.9371838569641113,2.0999999046325684,3.1989986896514893,182,503.4000244140625,73.87472,18.509395
1776081709137000000,104.957,42.29999923706055,1.899999976158142,1.9471839666366577,2.0999999046325684,2.19014310836792,181,503.4000244140625,73.87472,18.5093733
1776081710137000000,105.957,44.70000076293945,1.600000023841858,1.9571839570999146,2.0999999046325684,1.4870325326919556,181,503.4000244140625,73.8747233,18.5093567
1776081711137000000,106.957,61.599998474121094,1.7000000476837158,1.9671839475631714,2.115999937057495,1.1179766654968262,181,503.4000244140625,73.8747283,18.509345
1776081712137000000,107.957,0,1.899999976158142,1.9771839380264282,2.132999897003174,0,0,503.4000244140625,73.87473,18.509335
1776081713137000000,108.957,0,1.7000000476837158,1.987183928489685,2.1659998893737793,0,0,503.4000244140625,73.8747317,18.509325
